date,value
2021-12-31,47169.371094
2022-01-01,46311.746094
2022-01-02,47680.925781
2022-01-03,47343.542969
2022-01-04,46458.851563
2022-01-05,45899.359375
2022-01-06,43565.511719
2022-01-07,43153.570313
2022-01-08,41561.464844
2022-01-09,41734.726563
2022-01-10,41910.230469
2022-01-11,41819.507813
2022-01-12,42742.179688
2022-01-13,43946.742188
2022-01-14,42598.871094
2022-01-15,43101.898438
2022-01-16,43172.039063
2022-01-17,43118.121094
2022-01-18,42250.074219
2022-01-19,42374.039063
2022-01-20,41744.027344
2022-01-21,40699.605469
2022-01-22,36471.589844
2022-01-23,35047.359375
2022-01-24,36275.734375
2022-01-25,36654.804688
2022-01-26,36950.515625
2022-01-27,36841.878906
2022-01-28,37128.445313
2022-01-29,37780.714844
2022-01-30,38151.917969
2022-01-31,37920.28125
2022-02-01,38481.765625
2022-02-02,38743.714844
2022-02-03,36944.804688
2022-02-04,37149.265625
2022-02-05,41501.480469
2022-02-06,41441.121094
2022-02-07,42406.78125
2022-02-08,43854.652344
2022-02-09,44096.703125
2022-02-10,44347.800781
2022-02-11,43571.128906
2022-02-12,42412.300781
2022-02-13,42236.566406
2022-02-14,42157.398438
2022-02-15,42586.464844
2022-02-16,44578.277344
2022-02-17,43937.070313
2022-02-18,40552.132813
2022-02-19,40026.023438
2022-02-20,40118.101563
2022-02-21,38423.210938
2022-02-22,37068.769531
2022-02-23,38285.28125
2022-02-24,37278.566406
2022-02-25,38333.746094
2022-02-26,39213.082031
2022-02-27,39098.699219
2022-02-28,37706
2022-03-01,43194.503906
2022-03-02,44357.617188
2022-03-03,43925.195313
2022-03-04,42458.140625
2022-03-05,39148.449219
2022-03-06,39404.199219
2022-03-07,38429.304688
2022-03-08,38059.902344
2022-03-09,38742.816406
2022-03-10,41974.070313
2022-03-11,39439.96875
2022-03-12,38794.464844
2022-03-13,38884.726563
2022-03-14,37846.316406
2022-03-15,39664.25
2022-03-16,39335.570313
2022-03-17,41140.84375
2022-03-18,40944.839844
2022-03-19,41794.648438
2022-03-20,42191.40625
2022-03-21,41246.132813
2022-03-22,41074.105469
2022-03-23,42364.378906
2022-03-24,42886.652344
2022-03-25,43964.546875
2022-03-26,44349.859375
2022-03-27,44505.355469
2022-03-28,46821.851563
2022-03-29,47100.4375
2022-03-30,47456.898438
2022-03-31,47062.148438
2022-04-01,45554.164063
2022-04-02,46285.5
2022-04-03,45859.128906
2022-04-04,46445.273438
2022-04-05,46624.507813
2022-04-06,45544.355469
2022-04-07,43207.5
2022-04-08,43505.136719
2022-04-09,42282.078125
2022-04-10,42781.089844
2022-04-11,42201.039063
2022-04-12,39533.714844
2022-04-13,40123.570313
2022-04-14,41160.21875
2022-04-15,39939.402344
2022-04-16,40552.316406
2022-04-17,40417.777344
2022-04-18,39721.203125
2022-04-19,40828.175781
2022-04-20,41501.746094
2022-04-21,41371.515625
2022-04-22,40525.863281
2022-04-23,39738.722656
2022-04-24,39478.375
2022-04-25,39472.605469
2022-04-26,40448.421875
2022-04-27,38120.300781
2022-04-28,39241.429688
2022-04-29,39768.617188
2022-04-30,38605.859375
2022-05-01,37713.265625
2022-05-02,38472.1875
2022-05-03,38528.109375
2022-05-04,37748.011719
2022-05-05,39695.746094
2022-05-06,36573.183594
2022-05-07,36042.503906
2022-05-08,35502.941406
2022-05-09,34060.015625
2022-05-10,30273.654297
2022-05-11,31016.183594
2022-05-12,28936.734375
2022-05-13,29030.910156
2022-05-14,29285.642578
2022-05-15,30098.585938
2022-05-16,31304.375
2022-05-17,29862.408203
2022-05-18,30424.478516
2022-05-19,28720.359375
2022-05-20,30311.119141
2022-05-21,29199.859375
2022-05-22,29432.472656
2022-05-23,30309.396484
2022-05-24,29101.125
2022-05-25,29653.134766
2022-05-26,29564.777344
2022-05-27,29251.140625
2022-05-28,28622.625
2022-05-29,29019.867188
2022-05-30,29443.365234
2022-05-31,31723.865234
2022-06-01,31792.554688
2022-06-02,29794.890625
2022-06-03,30467.806641
2022-06-04,29706.138672
2022-06-05,29835.117188
2022-06-06,29910.283203
2022-06-07,31371.742188
2022-06-08,31151.480469
2022-06-09,30215.279297
2022-06-10,30110.330078
2022-06-11,29084.666016
2022-06-12,28373.513672
2022-06-13,26737.578125
2022-06-14,22487.986328
2022-06-15,22196.730469
2022-06-16,22576.304688
2022-06-17,20385.71875
2022-06-18,20473.425781
2022-06-19,19010.902344
2022-06-20,20553.371094
2022-06-21,20594.294922
2022-06-22,20719.414063
2022-06-23,19986.607422
2022-06-24,21084.648438
2022-06-25,21233.609375
2022-06-26,21496.494141
2022-06-27,21028.238281
2022-06-28,20731.544922
2022-06-29,20281.169922
2022-06-30,20108.3125
2022-07-01,19820.470703
2022-07-02,19274.835938
2022-07-03,19242.095703
2022-07-04,19297.314453
2022-07-05,20225.353516
2022-07-06,20194.619141
2022-07-07,20547.814453
2022-07-08,21637.154297
2022-07-09,21716.828125
2022-07-10,21591.080078
2022-07-11,20856.353516
2022-07-12,19970.474609
2022-07-13,19325.972656
2022-07-14,20211.466797
2022-07-15,20573.15625
2022-07-16,20834.103516
2022-07-17,21195.041016
2022-07-18,20781.912109
2022-07-19,22467.849609
2022-07-20,23393.191406
2022-07-21,23233.201172
2022-07-22,23163.751953
2022-07-23,22706.984375
2022-07-24,22465.509766
2022-07-25,22607.15625
2022-07-26,21361.121094
2022-07-27,21244.169922
2022-07-28,22956.876953
